Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
"Núcleo Desportivo ""Os Andorinhas""",Braga,Barcelos,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,116,0
"Núcleo Desportivo ""Os Andorinhas""",Braga,Barcelos,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,36,0
Núcleo Desportivo Amigos Vidais Futsal,Leiria,Caldas da Rainha,Futebol_Futsal,Futebol,Futsal,s/d,0,0
Núcleo Desportivo de Travanca,Aveiro,Santa Maria da Feira,Ciclismo_Ciclismo,Ciclismo,Ciclismo,2012 / 2013,7,0
Núcleo Desportivo do Bairro do Bom Pastor,Porto,Porto,Futebol_Futsal,Futebol,Futsal,2012 / 2013,31,0
Núcleo Desportivo do Colégio de Ermesinde,Porto,Valongo,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,50,0
Núcleo Desportivo do Colégio de Ermesinde,Porto,Valongo,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,30,0
Núcleo Desportivo e Cultural de Odemira,Beja,Odemira,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,18,8
Núcleo Desportivo e Cultural de Odemira,Beja,Odemira,Natação_Natação Pura,Natação,Natação Pura,2012 / 2013,14,16
Núcleo Desportivo e Recreativo do Livramento,Faro,Tavira,Petanca_Petanca,Petanca,Petanca,2012 / 2013,7,0
Núcleo Desportivo e Social da Guarda,Guarda,Guarda,Futebol_Futebol 11,Futebol,Futebol 11,2012 / 2013,100,0
Núcleo Desportivo e Social da Guarda,Guarda,Guarda,Futebol_Futebol 7,Futebol,Futebol 7,2012 / 2013,94,0
Núcleo Desportivo Juvenil do Laranjeiro,Setúbal,Almada,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,14,5
