Designação da instituição,Distrito,Concelho,Modalidade Desportiva,Federação Desportiva,Variante,Edição,Homens,Mulheres
Escola Básica 1 de São Romão (Vila viçosa),Évora,Vila Viçosa,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,15,12
Escola Básica 1 de São Romão de Ucha,Braga,Barcelos,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,7
Escola Básica 1 de São Sebastião,Porto,Marco de Canaveses,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,2
Escola Básica 1 de Sarnada - Aguiar Sousa,Porto,Paredes,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,9
Escola Básica 1 de Sede,Aveiro,Vale de Cambra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,15,22
Escola Básica 1 de Seide de São Miguel,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,24,21
Escola Básica 1 de Seixo,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,2
Escola Básica 1 de Selares,Aveiro,Oliveira de Azeméis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,3
Escola Básica 1 de Senhora (Baião),Porto,Baião,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,9
Escola Básica 1 de Senhora do Monte - Pedroso,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,14
Escola Básica 1 de Senhora do Monte (Estarreja),Aveiro,Estarreja,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,26,33
Escola Básica 1 de Serpente,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,2
Escola Básica 1 de Serra da Vila,Aveiro,Arouca,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,12
Escola Básica 1 de Serra do Pilar,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,2
Escola Básica 1 de Serradelo,Aveiro,Castelo de Paiva,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,1
Escola Básica 1 de Serrinha - Alpendurada,Porto,Marco de Canaveses,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,33,28
Escola Básica 1 de Serrinha - Rebordosa,Porto,Paredes,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,20,19
Escola Básica 1 de Soto,Aveiro,Arouca,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,9
Escola Básica 1 de Soutelo - Pinheiro,Vila Real,Vila Pouca de Aguiar,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,2
Escola Básica 1 de Souto (Paredes),Porto,Paredes,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,48,30
Escola Básica 1 de Souto (Vila Nova de Famalicão),Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,43,39
Escola Básica 1 de Sub - Ribas,Porto,Lousada,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,26,30
Escola Básica 1 de Telhado,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,34,45
Escola Básica 1 de Terra do Monte - Fermelã,Aveiro,Estarreja,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,22,20
Escola Básica 1 de Tras-as-Eiras - Sabrosa,Porto,Paredes,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,2
Escola Básica 1 de Urgueira,Porto,Baião,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,16
Escola Básica 1 de Urqueira (Ourém),Santarém,Ourém,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,5
Escola Básica 1 de Urqueira Norte,Santarém,Ourém,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,9
Escola Básica 1 de Valdossos,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,42,46
Escola Básica 1 de Vale Castanheiro,Aveiro,Estarreja,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,4
Escola Básica 1 de Vale de São Cosme,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,49,46
Escola Básica 1 de Vale de São Martinho,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,29,28
Escola Básica 1 de Vale do Côvo,Porto,Marco de Canaveses,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,16,12
Escola Básica 1 de Vale Grande,Lisboa,Odivelas,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,0
Escola Básica 1 de Valpedre,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,15,16
Escola Básica 1 de Várzea (Arouca),Aveiro,Arouca,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,9
Escola Básica 1 de Várzea (Marco de Canaveses),Porto,Marco de Canaveses,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,17,9
Escola Básica 1 de Vendas,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,0
Escola Básica 1 de Vermil,Braga,Guimarães,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,16,15
Escola Básica 1 de Vermoim,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,1
Escola Básica 1 de Vila Boa do Bispo,Porto,Marco de Canaveses,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,8
Escola Básica 1 de Vila Chã,Braga,Esposende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,33,27
Escola Básica 1 de Vila D'Este - Vilar de Andorinho,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,5
Escola Básica 1 de Vila Verde (Castelo de Paiva),Aveiro,Castelo de Paiva,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,3
Escola Básica 1 de Vila Verde (Penafiel),Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,5
Escola Básica 1 de Vila Viçosa - Espiunca,Aveiro,Arouca,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,1
Escola Básica 1 de Vilarinho das Cambas,Braga,Vila Nova de Famalicão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,42,35
Escola Básica 1 do Bairro,Santarém,Ourém,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,10
Escola Básica 1 do Olival,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,35,22
Escola Básica 1 do Sardão,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,3
Escola Básica 1 Joaquim Nicolau Almeida,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,1
Escola Básica 1 N.º 1 de Abragão - Miragaia,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,74,53
Escola Básica 1 N.º 1 de Calvário - Recarei,Porto,Paredes,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,7
Escola Básica 1 N.º 1 de Igreja,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,4
Escola Básica 1 N.º 1 de Penafiel,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,5
Escola Básica 1 N.º 1 de Pereiras,Porto,Lousada,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,11
Escola Básica 1 N.º 1 de Sobrado,Aveiro,Castelo de Paiva,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,23,13
Escola Básica 1 N.º 1 de Souto,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,20,9
Escola Básica 1 N.º 2 (Vale de Cambra),Aveiro,Vale de Cambra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,13,10
Escola Básica 1 N.º 2 de Abragão - Miragaia,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,8
Escola Básica 1 N.º 2 de Mosteiro,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,21
Escola Básica 1 N.º 2 de Sobrado,Aveiro,Castelo de Paiva,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,21,22
Escola Básica 1 N.º1 Sede,Porto,Baião,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,19,29
Escola Básica 1 N.º2 de Fraião - Castelões,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,5
Escola Básica 1 N.º2 Sede,Porto,Baião,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,23,23
Escola Básica 1 N.º3 de Penafiel,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,33,43
Escola Básica 1 Nº 2 de Castelo de Paiva,Aveiro,Castelo de Paiva,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,5,6
Escola Básica 1 Rua Direita,Porto,Marco de Canaveses,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,6
Escola Básica 1 Terrugem 1,Lisboa,Sintra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,0
Escola Básica 1 Tomás de Borba,Açores,Angra do Heroísmo,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,24,16
Escola Básica 1 Tomás de Borba,Açores,Angra do Heroísmo,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,0,6
Escola Básica 1 Tomás de Borba,Açores,Angra do Heroísmo,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,5,10
Escola Básica 1/ Jardim de Infância de Casal de Cambra,Lisboa,Sintra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,5
Escola Básica 1/ Jardim de Infância de Fontinhas,Açores,Praia da Vitória,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,6
Escola Básica 1/ Jardim de Infância de Foral,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,5
Escola Básica 1/ Jardim de Infância de Gandra,Braga,Esposende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,39,27
Escola Básica 1/ Jardim de Infância de Góios,Braga,Esposende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,37,30
Escola Básica 1/ Jardim de Infância de Igreja - Lama,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,20,17
Escola Básica 1/ Jardim de Infância de Vila - Lordelo,Porto,Paredes,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,10
Escola Básica 1/ Jardim de Infância de Vila Chã,Aveiro,Vale de Cambra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,12,15
Escola Básica 1/ Jardim de Infância de Vila Verde,Lisboa,Sintra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,8
Escola Básica 1/ Jardim de Infância dos Biscoitos,Açores,Praia da Vitória,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,7
Escola Básica 1/ Jardim de Infância Dr. Manuel Magro Machado,Portalegre,Marvão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,1
Escola Básica 1/ PE de Bica do Pau,Madeira,Ribeira Brava,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,13
Escola Básica 1/ PE de Pena,Madeira,Machico,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,14,16
Escola Básica 1/ PE de Tábua,Madeira,Ribeira Brava,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,10
Escola Básica 1/ PE Ribeiro Domingos Dias,Madeira,Câmara de Lobos,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,12
Escola Básica 2 de Resende,Viseu,Resende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,88,71
Escola Básica 2 do Mogadouro,Bragança,Mogadouro,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,16,21
"Escola Básica 23 ""A Ribeirinha""",Porto,Vila do Conde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,5,1
Escola Básica 23 Abade Correia da Serra,Beja,Serpa,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,30,12
Escola Básica 23 Alberto Iria,Faro,Olhão,Esgrima_Esgrima,Esgrima,Esgrima,2012 / 2013,27,11
Escola Básica 23 André Soares,Bragança,Alfandega da Fé,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,36
Escola Básica 23 António Bento Franco,Lisboa,Mafra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,9
Escola Básica 23 Conde de Vilalva,Évora,Évora,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,22,18
Escola Básica 23 D. Afonso III - Vinhais,Bragança,Vinhais,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,11,8
Escola Básica 23 D. Martinho,Castelo Branco,Castelo Branco,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,24,34
Escola Básica 23 de Arouca,Aveiro,Arouca,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,41,53
Escola Básica 23 de Briteiros,Braga,Guimarães,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,4
Escola Básica 23 de Castanheiros,Lisboa,Odivelas,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,24
Escola Básica 23 de Colares,Lisboa,Sintra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,12,2
Escola Básica 23 de Couto Mineiro,Aveiro,Castelo de Paiva,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,18,15
Escola Básica 23 de Eiriz,Porto,Marco de Canaveses,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,17
Escola Básica 23 de Escariz,Aveiro,Arouca,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,4,5
Escola Básica 23 de Gualtar,Braga,Braga,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,5,50
Escola Básica 23 de Lamaçães,Braga,Braga,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,59
Escola Básica 23 de Lousada,Porto,Lousada,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,35,20
Escola Básica 23 de Oliveira do Hospital,Coimbra,Oliveira do Hospital,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,119,117
Escola Básica 23 de Rebordosa,Porto,Paredes,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,10
Escola Básica 23 de São Miguel,Guarda,Guarda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,46,46
Escola Básica 23 de São Pedro da Cova,Porto,Gondomar,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,2
Escola Básica 23 de São Sebastião de Mértola,Beja,Mértola,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,41,27
Escola Básica 23 de Vila Franca das Naves,Guarda,Trancoso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,47,41
Escola Básica 23 do Alto dos Moinhos,Lisboa,Sintra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,38,34
Escola Básica 23 do Freixo,Viana do Castelo,Ponte de Lima,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,70,70
Escola Básica 23 do Sabugal,Guarda,Sabugal,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,12,8
Escola Básica 23 Dr. Abranches Ferrão,Guarda,Seia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,12,28
Escola Básica 23 Dr. Brito Camacho,Beja,Aljustrel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,24
Escola Básica 23 Dr. Carlos Pinto Ferreira,Porto,Vila do Conde,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,16
Escola Básica 23 Dr. Eduardo Brazão Castro,Madeira,Funchal,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,15
Escola Básica 23 Dr. Ferreira Silva,Aveiro,Oliveira de Azeméis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,14
Escola Básica 23 Dr.Manuel Fernandes,Santarém,Santarém,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,17
Escola Básica 23 Egas Moniz,Viseu,Resende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,58,33
Escola Básica 23 Guilherme Correia de Carvalho,Guarda,Seia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,66,48
Escola Basica 23 Irene Lisboa,Porto,Porto,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,21,12
Escola Básica 23 João Garcia Bacelar,Coimbra,Cantanhede,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,19,51
Escola Básica 23 João Gonçalves Zarco,Lisboa,Oeiras,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,18,25
Escola Básica 23 João Roiz,Castelo Branco,Castelo Branco,Judo_Judo,Judo,Judo,2012 / 2013,16,5
Escola Básica 23 Luis Sttau Monteiro,Lisboa,Loures,FPDD_FPDD,FPDD,FPDD,2012 / 2013,3,5
Escola Básica 23 Manuel Figueiredo,Santarém,Santarém,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,27
Escola Básica 23 N.º2 de Rio Tinto,Porto,Gondomar,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,24
Escola Básica 23 Pedro Álvares Cabral,Castelo Branco,Belmonte,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,51,31
Escola Básica 23 Professor Amaro Arantes,Braga,Vila Verde,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,12,8
Escola Básica 23 Professor Gonçalo Sampaio,Braga,Póvoa de Lanhoso,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,13,9
Escola Básica 23 Roque Gameiro,Lisboa,Amadora,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,22,23
Escola Básica 23/ Secundária da Sé,Viseu,Lamego,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,30,14
Escola Básica 23/ Secundária de Mondim de Basto,Vila Real,Mondim de Basto,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,11,15
Escola Básica 23/ Secundária de Mondim de Basto,Vila Real,Mondim de Basto,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,142,139
Escola Básica 23/ Secundária Josefa de Óbidos,Leiria,Óbidos,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,52,45
Escola Básica 23/ Secundária Latino Coelho,Viseu,Lamego,Ginástica_Ginástica P/todos,Ginástica,Ginástica P/todos,2012 / 2013,11,37
Escola Básica 23/ Secúndária Latino Coelho,Viseu,Lamego,Ginástica_Ginastica Trampolins,Ginástica,Ginastica Trampolins,2012 / 2013,2,8
Escola Básica 23/ Secúndária Latino Coelho,Viseu,Lamego,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,18,47
Escola Básica 2/ Jardim de Infância dos Biscoitos,Açores,Praia da Vitória,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,5
Escola Básica Aldeia Nova - Rebordões,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,3
Escola Básica Campolinho N.º2,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,1
Escola Basica Carolina Beatriz Angelo,Guarda,Guarda,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,56,17
Escola Básica Costa Nº1 - Roriz,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,9
Escola Básica da Bandeira,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,1,0
Escola Básica das Pedras,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,2
Escola Básica de Bom Nome,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,34,38
Escola Básica de Cabanas - Monte Cordova,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,22,20
Escola Básica de Cantim - Reguenga,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,14,7
Escola Básica de Friães N.º2,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,15,21
Escola Básica de Igreja - Areias,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,9
Escola Básica de Lousada Oeste,Porto,Porto,Andebol_Andebol,Andebol,Andebol,2012 / 2013,14,0
Escola Básica de Macinhata,Aveiro,Vale de Cambra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,28,38
Escola Básica de Madail,Aveiro,Oliveira de Azeméis,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,8
Escola Básica de Mourinha - São Tomé de Negrelos,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,6
Escola Básica de Oliveira de Reguengo,Aveiro,Castelo de Paiva,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,21
Escola Básica de Parada - Carreira,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,15,16
Escola Básica de Póvoa - Guilhufe,Porto,Penafiel,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,3
Escola Básica de Presa Nº3 - Vilarinho,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,26,20
Escola Básica de Quelhas - São Salvador do Campo,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,15
Escola Básica de Redundo - Monte Córdova,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,6
Escola Básica de Santa Lúzia N.º2 - Monte Córdova,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,14,11
Escola Básica de Sobrecampos - Lamelas,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,15,16
Escola Básica de Tarrio - Santa Cristina do Couto,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,4
Escola Básica de Vila Pouca de Cernache,Coimbra,Coimbra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,12
Escola Básica do Areal - São Miguel Couto,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,34,25
Escola Basica Dom Henrique,Viseu,Viseu,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,17
Escola Básica Dom Joao IV,Évora,Vila Viçosa,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,68,64
Escola Básica Dr. Costa Matos,Porto,Vila Nova de Gaia,Judo_Judo,Judo,Judo,2012 / 2013,12,4
Escola Básica e Jardim de Infância do Pico da Urze,Açores,Angra do Heroísmo,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,6,10
Escola Básica e Secundária Clara de Resende,Porto,Porto,Ginástica_Ginástica Artística,Ginástica,Ginástica Artística,2012 / 2013,2,4
Escola Básica e Secundária de Carcavelos,Lisboa,Cascais,Voleibol_Voleibol,Voleibol,Voleibol,s/d,0,0
Escola Básica e Secundária de Velas,Açores,Velas,Ginástica_Ginástica Fitness,Ginástica,Ginástica Fitness,2012 / 2013,0,20
Escola Básica e Secundária de Velas,Açores,Velas,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,17
Escola Básica e Secundária de Velas,Açores,Velas,Xadrez_Xadrez,Xadrez,Xadrez,2012 / 2013,6,2
Escola Básica e Secundária Gonçalves Zarco,Madeira,Funchal,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,5,5
Escola Básica e Secundária Gonçalves Zarco,Madeira,Funchal,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,9,0
Escola Básica General Humberto Delgado,Lisboa,Loures,Voleibol_Voleibol,Voleibol,Voleibol,s/d,0,0
Escola Básica Integrada da Boa Água,Setúbal,Sesimbra,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,44,26
Escola Básica Integrada de Arrifes,Açores,Ponta Delgada,Atletismo_Atletismo,Atletismo,Atletismo,2012 / 2013,52,52
Escola Basica Integrada de Forjães,Braga,Esposende,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,13
Escola Básica Integrada de Midões,Coimbra,Tábua,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,8,2
Escola Básica Integrada de Távora,Viana do Castelo,Arcos de Valdevez,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,61,46
Escola Básica Presa N.º2 - Vilarinho,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,35,38
Escola Básica Quinta das Chães,Porto,Vila Nova de Gaia,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,2,2
Escola Básica Ramada - Burgães,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,11,16
Escola Básica Ribeira - Roriz,Porto,Santo Tirso,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,34,32
Escola Básica/ Jardim de Infância Centro Social Paroquial de São Pedro,Açores,Ponta Delgada,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,5,3
Escola Básica/ Jardim de Infância D. António Sousa Braga,Açores,Vila do Porto,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,7,6
Escola Básica/ Jardim de Infância D. Paulo José Tavares,Açores,Ribeira Grande,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,15,23
Escola Básica/ Jardim de Infância de Ajuda da Bretanha,Açores,Ponta Delgada,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,12,13
Escola Básica/ Jardim de Infância de Almagreira,Açores,Vila do Porto,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,3,7
Escola Básica/ Jardim de Infância de Ammaia,Portalegre,Marvão,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,10,7
Escola Básica/ Jardim de Infância de Cabo da Praia,Açores,Praia da Vitória,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,0,17
Escola Básica/ Jardim de Infância de Matriz,Açores,Horta,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,12,10
Escola Básica/ Jardim de Infância de Ponta Garça,Açores,Vila Franca do Campo,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,26,10
Escola Básica/ Jardim de Infância de Posto Santo,Açores,Angra do Heroísmo,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,4,7
Escola Básica/ Jardim de Infância de Remédios da Bretanha,Açores,Ponta Delgada,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,14,10
Escola Básica/ Jardim de Infância de Santa Bárbara,Açores,Angra do Heroísmo,Judo_Judo,Judo,Judo,2012 / 2013,10,4
Escola Básica/ Jardim de Infância de Santa Clara,Açores,Ponta Delgada,Voleibol_Voleibol,Voleibol,Voleibol,2012 / 2013,6,7
